                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2264,                 1.6151,                  1.274,                0.66526,                0.50104,                0.58934,                0.43992,                  1.096,                 1.1353,                 1.1366,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2226,                 1.5099,                  1.266,                0.66686,                0.55387,                 0.6211,                0.45945,                 1.0846,                 1.0989,                 1.1274,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                    1.2,                 1.4196,                 1.2162,                0.67378,                0.57391,                0.63416,                0.47304,                  1.073,                 1.0716,                 1.1196,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.2356,                  1.471,                  1.251,                0.68122,                0.59462,                0.65937,                0.49077,                 1.0664,                 1.0495,                 1.1123,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                  1.149,                 1.2775,                 1.2149,                0.67952,                0.61205,                 0.6723,                0.50079,                 1.0558,                 1.0323,                 1.1045,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1099,                 1.3102,                 1.1917,                0.68747,                0.63179,                0.68442,                0.51222,                 1.0423,                 1.0034,                 1.0938,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1112,                 1.1674,                 1.1894,                0.71662,                0.64415,                 0.6931,                0.51555,                 1.0356,                0.97874,                  1.091,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1247,                 1.1781,                 1.1985,                0.75759,                0.63468,                 0.7045,                0.52752,                 1.0277,                0.94051,                 1.0885,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  1.053,                  1.103,                 1.1481,                 0.7273,                 0.6494,                0.71762,                0.53916,                 1.0179,                0.91727,                  1.083,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0787,                 1.1537,                 1.1886,                0.72221,                0.65125,                0.72109,                 0.5445,                 1.0142,                0.90556,                  1.081,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                  1.048,                 1.0716,                 1.1479,                0.72557,                0.66765,                0.73061,                0.55492,                 1.0122,                0.88223,                 1.0786,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                  1.094,                 1.1165,                 1.1893,                0.82408,                0.63743,                0.73765,                0.56225,                 1.0095,                0.86672,                 1.0751,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0544,                 1.0616,                  1.153,                0.76063,                0.68507,                0.74742,                0.57119,                0.99814,                0.85053,                 1.0692,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0253,                 1.0623,                 1.1631,                0.78781,                0.67767,                0.76301,                0.57819,                0.99058,                0.83541,                 1.0638,             0.00010486,             0.00010486,             0.00010486
                     15,                0.99199,                 1.0009,                 1.1368,                0.78981,                0.67677,                0.76609,                 0.5842,                0.98343,                0.82483,                 1.0606,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0228,                 1.0066,                 1.1358,                0.81433,                0.66539,                0.76945,                0.58805,                0.97291,                0.81014,                 1.0519,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0515,                 1.0445,                 1.1441,                0.80245,                 0.6662,                0.78294,                 0.6018,                0.96284,                0.79221,                 1.0452,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0764,                0.99047,                 1.1342,                0.79686,                0.70096,                0.78703,                0.61288,                0.95617,                 0.7834,                 1.0406,             0.00010015,             0.00010015,             0.00010015
                     19,                0.97545,                0.94203,                 1.1217,                0.83778,                0.69006,                0.79614,                 0.6243,                0.94055,                0.77426,                 1.0335,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 1.0086,                 0.9861,                 1.1379,                0.79925,                0.73678,                0.80908,                0.63056,                 0.9246,                0.75629,                 1.0269,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0225,                0.93034,                 1.1271,                0.85568,                0.71302,                0.81595,                0.63407,                0.91499,                0.73618,                 1.0231,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0065,                0.90457,                 1.1074,                0.84924,                0.72026,                0.81884,                0.63985,                0.90871,                0.72083,                 1.0195,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.98063,                 0.9314,                 1.1316,                0.86122,                0.71978,                0.82157,                0.64212,                0.90429,                0.71181,                 1.0158,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.98935,                0.93963,                 1.1119,                0.85076,                0.72209,                0.82704,                0.64088,                0.90052,                0.70656,                 1.0132,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96854,                0.87462,                 1.1046,                0.84398,                 0.7403,                0.82716,                0.64461,                0.89745,                 0.7007,                 1.0108,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 1.0015,                0.91849,                 1.1068,                0.83389,                0.75258,                0.83251,                0.64401,                0.89595,                0.69676,                 1.0084,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.96707,                0.89528,                 1.1071,                0.80825,                0.76989,                0.83674,                0.65187,                0.89004,                0.68951,                 1.0044,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.97744,                0.87244,                 1.1106,                0.81525,                0.76894,                 0.8364,                0.65319,                0.87818,                0.67817,                0.99903,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 1.0473,                0.92575,                 1.1089,                0.85521,                0.74965,                0.83735,                0.65384,                0.86621,                0.66675,                0.99339,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.94219,                0.83873,                 1.0892,                0.86331,                0.74917,                0.83857,                0.65217,                0.85858,                0.66473,                0.98884,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.93522,                0.84814,                 1.0872,                0.83292,                0.76247,                0.84298,                0.65732,                0.85367,                0.66399,                0.98602,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.92907,                0.87357,                 1.0678,                0.80856,                0.77416,                0.83033,                0.65972,                0.84859,                 0.6614,                 0.9832,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.96482,                0.88787,                 1.1121,                0.78325,                0.78946,                0.84828,                0.66855,                0.84219,                0.65228,                0.98146,             8.2479e-05,             8.2479e-05,             8.2479e-05
