                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2265,                 1.6151,                 1.2741,                0.64498,                0.53262,                0.61432,                0.45607,                 1.0817,                 1.1202,                 1.1248,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2225,                 1.5105,                 1.2662,                0.68362,                 0.5431,                0.63251,                0.47023,                 1.0788,                 1.0962,                 1.1236,             1.7762e-05,             1.7762e-05,             1.7762e-05
                      3,                 1.1999,                 1.4192,                 1.2161,                0.69153,                0.55214,                0.64361,                0.48035,                 1.0762,                  1.073,                 1.1225,             2.7099e-05,             2.7099e-05,             2.7099e-05
                      4,                 1.2353,                 1.4692,                 1.2505,                0.68772,                0.57804,                0.65467,                0.49055,                 1.0661,                 1.0487,                 1.1137,             3.6342e-05,             3.6342e-05,             3.6342e-05
                      5,                 1.1489,                 1.2756,                 1.2147,                0.70501,                0.60568,                0.67957,                0.50785,                 1.0505,                 1.0278,                 1.1029,             4.5491e-05,             4.5491e-05,             4.5491e-05
                      6,                 1.1103,                 1.3086,                 1.1921,                0.70359,                0.63252,                0.68859,                0.51329,                 1.0385,                0.99906,                 1.0938,             5.4546e-05,             5.4546e-05,             5.4546e-05
                      7,                 1.1124,                 1.1644,                 1.1902,                0.73189,                 0.6433,                0.69081,                0.51535,                 1.0343,                 0.9761,                 1.0909,             6.3506e-05,             6.3506e-05,             6.3506e-05
                      8,                 1.1234,                 1.1783,                 1.1964,                0.71765,                 0.6533,                0.70079,                0.52683,                 1.0268,                0.94199,                 1.0883,             7.2372e-05,             7.2372e-05,             7.2372e-05
                      9,                 1.0535,                 1.1035,                 1.1485,                0.69368,                0.68029,                0.71809,                0.53884,                 1.0177,                0.91923,                 1.0823,             8.1144e-05,             8.1144e-05,             8.1144e-05
                     10,                 1.0783,                 1.1474,                 1.1883,                0.71479,                 0.6816,                0.72008,                0.54219,                 1.0137,                0.90149,                 1.0786,             8.9822e-05,             8.9822e-05,             8.9822e-05
                     11,                  1.046,                 1.0715,                 1.1462,                0.71397,                0.69281,                0.73151,                0.55446,                 1.0129,                0.88183,                 1.0758,             9.8405e-05,             9.8405e-05,             9.8405e-05
                     12,                 1.0995,                 1.1207,                 1.1921,                0.74325,                0.68785,                0.73838,                0.56019,                 1.0051,                0.86468,                 1.0702,             0.00010689,             0.00010689,             0.00010689
                     13,                 1.0532,                 1.0606,                 1.1521,                0.77499,                0.68631,                0.74963,                0.57081,                 0.9916,                0.84262,                 1.0616,             0.00011193,             0.00011193,             0.00011193
                     14,                 1.0253,                 1.0486,                 1.1626,                0.79245,                0.68733,                0.75998,                0.58284,                0.98392,                0.82466,                 1.0579,             0.00011193,             0.00011193,             0.00011193
                     15,                0.98806,                0.98969,                 1.1355,                0.80533,                0.67688,                0.75965,                0.58183,                0.98055,                0.81543,                 1.0566,             0.00011134,             0.00011134,             0.00011134
                     16,                 1.0248,                 1.0049,                 1.1355,                0.77706,                0.68816,                0.76537,                0.58832,                0.97387,                0.80009,                  1.051,             0.00011075,             0.00011075,             0.00011075
                     17,                 1.0549,                  1.045,                 1.1482,                 0.8207,                0.67497,                0.78058,                  0.604,                0.96421,                0.78414,                 1.0442,             0.00011016,             0.00011016,             0.00011016
                     18,                 1.0733,                0.99088,                 1.1323,                0.81611,                0.69057,                0.78757,                0.60577,                0.95861,                0.77824,                 1.0379,             0.00010958,             0.00010958,             0.00010958
                     19,                0.97793,                0.93944,                 1.1235,                0.81548,                0.70398,                 0.7976,                0.61938,                0.93842,                0.76241,                 1.0291,             0.00010899,             0.00010899,             0.00010899
                     20,                 1.0096,                0.98242,                 1.1386,                0.84366,                0.70406,                0.80431,                0.62797,                0.91656,                0.74401,                 1.0234,              0.0001084,              0.0001084,              0.0001084
                     21,                 1.0197,                0.92377,                 1.1222,                0.86163,                0.69524,                  0.816,                0.62996,                0.90683,                0.72808,                 1.0187,             0.00010781,             0.00010781,             0.00010781
                     22,                 1.0094,                0.90475,                 1.1082,                0.77353,                0.76604,                0.82242,                0.63802,                0.89902,                0.71289,                 1.0144,             0.00010722,             0.00010722,             0.00010722
                     23,                0.98718,                0.93017,                 1.1384,                0.83542,                0.72031,                0.82631,                0.63896,                0.89378,                0.70417,                  1.012,             0.00010663,             0.00010663,             0.00010663
                     24,                0.98248,                0.93624,                 1.1139,                0.83002,                0.72483,                0.83192,                0.64376,                0.88798,                0.69822,                 1.0095,             0.00010604,             0.00010604,             0.00010604
                     25,                0.96071,                0.86769,                 1.1067,                0.82834,                0.73344,                0.83358,                0.64487,                0.88591,                0.69571,                 1.0075,             0.00010545,             0.00010545,             0.00010545
                     26,                 1.0041,                0.91557,                 1.1123,                0.82161,                0.74772,                0.83421,                0.64986,                0.88794,                0.69494,                 1.0059,             0.00010486,             0.00010486,             0.00010486
                     27,                0.96771,                0.88931,                 1.1093,                0.83571,                0.74783,                0.83751,                0.65085,                0.87754,                0.68221,                0.99977,             0.00010427,             0.00010427,             0.00010427
                     28,                0.97216,                0.86207,                 1.1065,                0.84673,                0.73663,                0.83898,                0.65869,                0.86725,                0.67007,                0.99371,             0.00010368,             0.00010368,             0.00010368
                     29,                 1.0535,                0.92601,                 1.1125,                0.86707,                0.73857,                0.84125,                0.66504,                0.85733,                0.66114,                0.98813,              0.0001031,              0.0001031,              0.0001031
                     30,                0.93512,                0.82144,                 1.0834,                0.88138,                0.73779,                0.84696,                0.67196,                0.84897,                0.65687,                 0.9832,             0.00010251,             0.00010251,             0.00010251
                     31,                0.92514,                0.84042,                 1.0853,                0.81431,                0.78388,                0.85007,                0.67065,                0.84647,                0.66006,                 0.9811,             0.00010192,             0.00010192,             0.00010192
                     32,                0.92747,                0.86217,                 1.0669,                0.81226,                0.77685,                0.84823,                0.67369,                0.84166,                0.65761,                0.98085,             0.00010133,             0.00010133,             0.00010133
                     33,                 0.9615,                0.88129,                 1.1097,                 0.8297,                 0.7787,                0.85042,                0.68008,                0.83201,                0.64883,                0.98003,             0.00010074,             0.00010074,             0.00010074
